,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
694,RCB,Sunrisers,RCB,14 runs,Bengaluru,"May 17, 2018",T20
695,Daredevils,Super Kings,Daredevils,34 runs,Delhi,"May 18, 2018",T20
696,Royals,RCB,Royals,30 runs,Jaipur,"May 19, 2018",T20
697,Sunrisers,KKR,KKR,5 wickets,Hyderabad (Deccan),"May 19, 2018",T20
698,Daredevils,Mum Indians,Daredevils,11 runs,Delhi,"May 20, 2018",T20
699,Super Kings,Kings XI,Super Kings,5 wickets,Pune,"May 20, 2018",T20
700,Sunrisers,Super Kings,Super Kings,2 wickets,Mumbai,"May 22, 2018",T20
701,KKR,Royals,KKR,25 runs,Kolkata,"May 23, 2018",T20
702,KKR,Sunrisers,Sunrisers,14 runs,Kolkata,"May 25, 2018",T20
703,Super Kings,Sunrisers,Super Kings,8 wickets,Mumbai,"May 27, 2018",T20
704,Super Kings,RCB,Super Kings,7 wickets,Chennai,"Mar 23, 2019",T20
705,KKR,Sunrisers,KKR,6 wickets,Kolkata,"Mar 24, 2019",T20
706,Mum Indians,Capitals,Capitals,37 runs,Mumbai,"Mar 24, 2019",T20
707,Royals,Kings XI,Kings XI,14 runs,Jaipur,"Mar 25, 2019",T20
708,Capitals,Super Kings,Super Kings,6 wickets,Delhi,"Mar 26, 2019",T20
709,KKR,Kings XI,KKR,28 runs,Kolkata,"Mar 27, 2019",T20
710,RCB,Mum Indians,Mum Indians,6 runs,Bengaluru,"Mar 28, 2019",T20
711,Sunrisers,Royals,Sunrisers,5 wickets,Hyderabad (Deccan),"Mar 29, 2019",T20
712,Kings XI,Mum Indians,Kings XI,8 wickets,Mohali,"Mar 30, 2019",T20
713,Capitals,KKR,tied,,Delhi,"Mar 30, 2019",T20
714,Sunrisers,RCB,Sunrisers,118 runs,Hyderabad (Deccan),"Mar 31, 2019",T20
715,Super Kings,Royals,Super Kings,8 runs,Chennai,"Mar 31, 2019",T20
716,Kings XI,Capitals,Kings XI,14 runs,Mohali,"Apr 1, 2019",T20
717,Royals,RCB,Royals,7 wickets,Jaipur,"Apr 2, 2019",T20
718,Mum Indians,Super Kings,Mum Indians,37 runs,Mumbai,"Apr 3, 2019",T20
719,Capitals,Sunrisers,Sunrisers,5 wickets,Delhi,"Apr 4, 2019",T20
720,RCB,KKR,KKR,5 wickets,Bengaluru,"Apr 5, 2019",T20
721,Super Kings,Kings XI,Super Kings,22 runs,Chennai,"Apr 6, 2019",T20
722,Sunrisers,Mum Indians,Mum Indians,40 runs,Hyderabad (Deccan),"Apr 6, 2019",T20
723,RCB,Capitals,Capitals,4 wickets,Bengaluru,"Apr 7, 2019",T20
724,Royals,KKR,KKR,8 wickets,Jaipur,"Apr 7, 2019",T20
725,Kings XI,Sunrisers,Kings XI,6 wickets,Mohali,"Apr 8, 2019",T20
726,Super Kings,KKR,Super Kings,7 wickets,Chennai,"Apr 9, 2019",T20
727,Mum Indians,Kings XI,Mum Indians,3 wickets,Mumbai,"Apr 10, 2019",T20
728,Royals,Super Kings,Super Kings,4 wickets,Jaipur,"Apr 11, 2019",T20
729,KKR,Capitals,Capitals,7 wickets,Kolkata,"Apr 12, 2019",T20
730,Mum Indians,Royals,Royals,4 wickets,Mumbai,"Apr 13, 2019",T20
731,Kings XI,RCB,RCB,8 wickets,Mohali,"Apr 13, 2019",T20
732,KKR,Super Kings,Super Kings,5 wickets,Kolkata,"Apr 14, 2019",T20
733,Sunrisers,Capitals,Capitals,39 runs,Hyderabad (Deccan),"Apr 14, 2019",T20
734,Mum Indians,RCB,Mum Indians,5 wickets,Mumbai,"Apr 15, 2019",T20
735,Kings XI,Royals,Kings XI,12 runs,Mohali,"Apr 16, 2019",T20
736,Sunrisers,Super Kings,Sunrisers,6 wickets,Hyderabad (Deccan),"Apr 17, 2019",T20
737,Capitals,Mum Indians,Mum Indians,40 runs,Delhi,"Apr 18, 2019",T20
738,KKR,RCB,RCB,10 runs,Kolkata,"Apr 19, 2019",T20
739,Royals,Mum Indians,Royals,5 wickets,Jaipur,"Apr 20, 2019",T20
740,Capitals,Kings XI,Capitals,5 wickets,Delhi,"Apr 20, 2019",T20
741,Sunrisers,KKR,Sunrisers,9 wickets,Hyderabad (Deccan),"Apr 21, 2019",T20
742,RCB,Super Kings,RCB,1 run,Bengaluru,"Apr 21, 2019",T20
743,Royals,Capitals,Capitals,6 wickets,Jaipur,"Apr 22, 2019",T20
744,Super Kings,Sunrisers,Super Kings,6 wickets,Chennai,"Apr 23, 2019",T20
745,RCB,Kings XI,RCB,17 runs,Bengaluru,"Apr 24, 2019",T20
746,KKR,Royals,Royals,3 wickets,Kolkata,"Apr 25, 2019",T20
